transaction_ID,date_time,day_of_week,total,place,item_type,amount
10,2019-07-13 16:32:00.000,Saturday,22300,NULL,Cacao deep,1
11,2019-07-14 11:08:00.000,Sunday,15300,NULL,Angbutter,1
11,2019-07-14 11:08:00.000,Sunday,15300,NULL,Tiramisu croissant,1
11,2019-07-14 11:08:00.000,Sunday,15300,NULL,Vanila latte,1
12,2019-07-14 11:15:00.000,Sunday,27600,NULL,Angbutter,2
12,2019-07-14 11:15:00.000,Sunday,27600,NULL,Americano,3
12,2019-07-14 11:15:00.000,Sunday,27600,NULL,Tiramisu croissant,1
13,2019-07-14 11:44:00.000,Sunday,26300,NULL,Angbutter,1
13,2019-07-14 11:44:00.000,Sunday,26300,NULL,Tiramisu croissant,2
13,2019-07-14 11:44:00.000,Sunday,26300,NULL,Cacao deep,2
13,2019-07-14 11:44:00.000,Sunday,26300,NULL,Vanila latte,1
14,2019-07-14 11:59:00.000,Sunday,19800,NULL,Angbutter,1
14,2019-07-14 11:59:00.000,Sunday,19800,NULL,Tiramisu croissant,1
14,2019-07-14 11:59:00.000,Sunday,19800,NULL,Orange pound,1
14,2019-07-14 11:59:00.000,Sunday,19800,NULL,Vanila latte,1
15,2019-07-14 12:59:00.000,Sunday,18300,NULL,Angbutter,1
15,2019-07-14 12:59:00.000,Sunday,18300,NULL,Cacao deep,1
15,2019-07-14 12:59:00.000,Sunday,18300,NULL,Orange pound,1
16,2019-07-14 13:05:00.000,Sunday,15600,NULL,Angbutter,2
16,2019-07-14 13:05:00.000,Sunday,15600,NULL,Tiramisu croissant,1
17,2019-07-14 14:06:00.000,Sunday,23600,NULL,Angbutter,2
17,2019-07-14 14:06:00.000,Sunday,23600,NULL,Tiramisu croissant,1
17,2019-07-14 14:06:00.000,Sunday,23600,NULL,Cacao deep,1
17,2019-07-14 14:06:00.000,Sunday,23600,NULL,Orange pound,1
18,2019-07-14 14:41:00.000,Sunday,20100,NULL,Angbutter,2
18,2019-07-14 14:41:00.000,Sunday,20100,NULL,Tiramisu croissant,1
18,2019-07-14 14:41:00.000,Sunday,20100,NULL,Vanila latte,1
19,2019-07-14 14:51:00.000,Sunday,25600,NULL,Angbutter,2
19,2019-07-14 14:51:00.000,Sunday,25600,NULL,Jam,1
19,2019-07-14 14:51:00.000,Sunday,25600,NULL,Caffe latte,1
19,2019-07-14 14:51:00.000,Sunday,25600,NULL,Orange pound,1
20,2019-07-14 15:02:00.000,Sunday,19800,NULL,Angbutter,1
20,2019-07-14 15:02:00.000,Sunday,19800,NULL,Tiramisu croissant,1
20,2019-07-14 15:02:00.000,Sunday,19800,NULL,Orange pound,1
20,2019-07-14 15:02:00.000,Sunday,19800,NULL,Vanila latte,1
21,2019-07-15 11:45:00.000,Monday,15100,NULL,Angbutter,2
21,2019-07-15 11:45:00.000,Monday,15100,NULL,Cacao deep,1
22,2019-07-15 16:21:00.000,Monday,15800,NULL,Angbutter,1
22,2019-07-15 16:21:00.000,Monday,15800,NULL,Tiramisu croissant,1
22,2019-07-15 16:21:00.000,Monday,15800,NULL,Lemon ade,1
23,2019-07-17 11:47:00.000,Wednesday,17800,NULL,Angbutter,1
23,2019-07-17 11:47:00.000,Wednesday,17800,NULL,Plain bread,1
23,2019-07-17 11:47:00.000,Wednesday,17800,NULL,Tiramisu croissant,1
24,2019-07-17 13:23:00.000,Wednesday,14800,NULL,Angbutter,3
24,2019-07-17 13:23:00.000,Wednesday,14800,NULL,Croissant,1
24,2019-07-17 13:23:00.000,Wednesday,14800,NULL,Pain au chocolat,1
25,2019-07-17 14:16:00.000,Wednesday,23400,NULL,Angbutter,1
25,2019-07-17 14:16:00.000,Wednesday,23400,NULL,Jam,2
25,2019-07-17 14:16:00.000,Wednesday,23400,NULL,Gateau chocolat,1
25,2019-07-17 14:16:00.000,Wednesday,23400,NULL,Orange pound,1
26,2019-07-17 16:32:00.000,Wednesday,18100,NULL,Angbutter,1
26,2019-07-17 16:32:00.000,Wednesday,18100,NULL,Plain bread,1
26,2019-07-17 16:32:00.000,Wednesday,18100,NULL,Berry ade,1
27,2019-07-19 11:43:00.000,Friday,14800,NULL,Angbutter,1
27,2019-07-19 11:43:00.000,Friday,14800,NULL,Croissant,1
27,2019-07-19 11:43:00.000,Friday,14800,NULL,Tiramisu croissant,1
27,2019-07-19 11:43:00.000,Friday,14800,NULL,Pain au chocolat,1
28,2019-07-19 12:11:00.000,Friday,15800,NULL,Angbutter,1
28,2019-07-19 12:11:00.000,Friday,15800,NULL,Orange pound,1
28,2019-07-19 12:11:00.000,Friday,15800,NULL,Berry ade,1
29,2019-07-19 12:36:00.000,Friday,21800,NULL,Angbutter,1
29,2019-07-19 12:36:00.000,Friday,21800,NULL,Croissant,1
29,2019-07-19 12:36:00.000,Friday,21800,NULL,Tiramisu croissant,2
29,2019-07-19 12:36:00.000,Friday,21800,NULL,Pain au chocolat,1
30,2019-07-19 12:44:00.000,Friday,20600,NULL,Angbutter,2
30,2019-07-19 12:44:00.000,Friday,20600,NULL,Tiramisu croissant,1
30,2019-07-19 12:44:00.000,Friday,20600,NULL,Orange pound,1
31,2019-07-19 13:35:00.000,Friday,14800,NULL,Angbutter,1
31,2019-07-19 13:35:00.000,Friday,14800,NULL,Croissant,1
31,2019-07-19 13:35:00.000,Friday,14800,NULL,Tiramisu croissant,1
32,2019-07-19 13:50:00.000,Friday,15100,NULL,Angbutter,2
32,2019-07-19 13:50:00.000,Friday,15100,NULL,Pain au chocolat,1
33,2019-07-19 14:12:00.000,Friday,58000,NULL,Croissant,16
34,2019-07-19 15:33:00.000,Friday,35900,NULL,Angbutter,3
34,2019-07-19 15:33:00.000,Friday,35900,NULL,Croissant,3
34,2019-07-19 15:33:00.000,Friday,35900,NULL,Tiramisu croissant,2
35,2019-07-20 11:19:00.000,Saturday,15800,NULL,Angbutter,1
35,2019-07-20 11:19:00.000,Saturday,15800,NULL,Milk tea,1
35,2019-07-20 11:19:00.000,Saturday,15800,NULL,Orange pound,1
36,2019-07-20 11:35:00.000,Saturday,18800,NULL,Angbutter,1
36,2019-07-20 11:35:00.000,Saturday,18800,NULL,Americano,1
36,2019-07-20 11:35:00.000,Saturday,18800,NULL,Croissant,1
36,2019-07-20 11:35:00.000,Saturday,18800,NULL,Caffe latte,1
37,2019-07-20 11:40:00.000,Saturday,22800,NULL,Angbutter,1
37,2019-07-20 11:40:00.000,Saturday,22800,NULL,Jam,1
37,2019-07-20 11:40:00.000,Saturday,22800,NULL,Tiramisu croissant,1
37,2019-07-20 11:40:00.000,Saturday,22800,NULL,Pain au chocolat,1
37,2019-07-20 11:40:00.000,Saturday,22800,NULL,Gateau chocolat,1
37,2019-07-20 11:40:00.000,Saturday,22800,NULL,Tiramisu,1
38,2019-07-20 11:44:00.000,Saturday,16400,NULL,Angbutter,3
39,2019-07-20 12:08:00.000,Saturday,15800,NULL,Angbutter,1
39,2019-07-20 12:08:00.000,Saturday,15800,NULL,Pandoro,1
39,2019-07-20 12:08:00.000,Saturday,15800,NULL,Tiramisu,1
40,2019-07-20 12:13:00.000,Saturday,26300,NULL,Angbutter,1
40,2019-07-20 12:13:00.000,Saturday,26300,NULL,Caffe latte,1
40,2019-07-20 12:13:00.000,Saturday,26300,NULL,Pain au chocolat,1
40,2019-07-20 12:13:00.000,Saturday,26300,NULL,Orange pound,1
40,2019-07-20 12:13:00.000,Saturday,26300,NULL,Wiener,1
40,2019-07-20 12:13:00.000,Saturday,26300,NULL,Tiramisu,1
41,2019-07-20 12:31:00.000,Saturday,14800,NULL,Angbutter,1
41,2019-07-20 12:31:00.000,Saturday,14800,NULL,Caffe latte,1
41,2019-07-20 12:31:00.000,Saturday,14800,NULL,Pain au chocolat,1
42,2019-07-20 12:55:00.000,Saturday,15800,NULL,Angbutter,1
42,2019-07-20 12:55:00.000,Saturday,15800,NULL,Tiramisu croissant,1
42,2019-07-20 12:55:00.000,Saturday,15800,NULL,Orange pound,1
43,2019-07-20 13:19:00.000,Saturday,20500,NULL,Croissant,2
43,2019-07-20 13:19:00.000,Saturday,20500,NULL,Tiramisu croissant,1
43,2019-07-20 13:19:00.000,Saturday,20500,NULL,Pain au chocolat,2
44,2019-07-20 13:44:00.000,Saturday,18600,NULL,Angbutter,2
44,2019-07-20 13:44:00.000,Saturday,18600,NULL,Croissant,1
44,2019-07-20 13:44:00.000,Saturday,18600,NULL,Pain au chocolat,1
45,2019-07-20 13:56:00.000,Saturday,17800,NULL,Angbutter,1
45,2019-07-20 13:56:00.000,Saturday,17800,NULL,Americano,1
45,2019-07-20 13:56:00.000,Saturday,17800,NULL,Croissant,1
45,2019-07-20 13:56:00.000,Saturday,17800,NULL,Pain au chocolat,1
46,2019-07-21 11:07:00.000,Sunday,18600,NULL,Angbutter,1
46,2019-07-21 11:07:00.000,Sunday,18600,NULL,Croissant,1
46,2019-07-21 11:07:00.000,Sunday,18600,NULL,Gateau chocolat,1
46,2019-07-21 11:07:00.000,Sunday,18600,NULL,Tiramisu,1
47,2019-07-21 11:42:00.000,Sunday,17300,NULL,Angbutter,1
47,2019-07-21 11:42:00.000,Sunday,17300,NULL,Plain bread,1
47,2019-07-21 11:42:00.000,Sunday,17300,NULL,Croissant,1
47,2019-07-21 11:42:00.000,Sunday,17300,NULL,Pain au chocolat,1
48,2019-07-21 12:12:00.000,Sunday,17800,NULL,Angbutter,1
48,2019-07-21 12:12:00.000,Sunday,17800,NULL,Americano,1
48,2019-07-21 12:12:00.000,Sunday,17800,NULL,Orange pound,1
48,2019-07-21 12:12:00.000,Sunday,17800,NULL,Wiener,1
49,2019-07-21 12:25:00.000,Sunday,14800,NULL,Angbutter,1
49,2019-07-21 12:25:00.000,Sunday,14800,NULL,Caffe latte,1
49,2019-07-21 12:25:00.000,Sunday,14800,NULL,Pain au chocolat,1
50,2019-07-21 12:29:00.000,Sunday,16100,NULL,Angbutter,2
50,2019-07-21 12:29:00.000,Sunday,16100,NULL,Orange pound,1
51,2019-07-21 12:47:00.000,Sunday,21000,NULL,Plain bread,1
51,2019-07-21 12:47:00.000,Sunday,21000,NULL,Croissant,1
51,2019-07-21 12:47:00.000,Sunday,21000,NULL,Tiramisu croissant,1
51,2019-07-21 12:47:00.000,Sunday,21000,NULL,Pain au chocolat,1
51,2019-07-21 12:47:00.000,Sunday,21000,NULL,Orange pound,1
52,2019-07-21 13:37:00.000,Sunday,19300,NULL,Angbutter,1
52,2019-07-21 13:37:00.000,Sunday,19300,NULL,Croissant,1
52,2019-07-21 13:37:00.000,Sunday,19300,NULL,Milk tea,2
53,2019-07-21 13:45:00.000,Sunday,22300,NULL,Angbutter,1
53,2019-07-21 13:45:00.000,Sunday,22300,NULL,Americano,2
53,2019-07-21 13:45:00.000,Sunday,22300,NULL,Croissant,1
53,2019-07-21 13:45:00.000,Sunday,22300,NULL,Tiramisu croissant,1
54,2019-07-21 14:05:00.000,Sunday,18300,NULL,Angbutter,1
54,2019-07-21 14:05:00.000,Sunday,18300,NULL,Plain bread,1
54,2019-07-21 14:05:00.000,Sunday,18300,NULL,Croissant,1
54,2019-07-21 14:05:00.000,Sunday,18300,NULL,Vanila latte,1
55,2019-07-21 14:53:00.000,Sunday,15300,NULL,Angbutter,1
55,2019-07-21 14:53:00.000,Sunday,15300,NULL,Plain bread,1
55,2019-07-21 14:53:00.000,Sunday,15300,NULL,Jam,1
55,2019-07-21 14:53:00.000,Sunday,15300,NULL,Croissant,1
56,2019-07-21 15:21:00.000,Sunday,15100,NULL,Angbutter,1
56,2019-07-21 15:21:00.000,Sunday,15100,NULL,Almond croissant,1
56,2019-07-21 15:21:00.000,Sunday,15100,NULL,Gateau chocolat,1
57,2019-07-22 11:38:00.000,Monday,15600,NULL,Angbutter,2
57,2019-07-22 11:38:00.000,Monday,15600,NULL,Americano,1
58,2019-07-22 12:16:00.000,Monday,19300,NULL,Angbutter,1
58,2019-07-22 12:16:00.000,Monday,19300,NULL,Croissant,1
58,2019-07-22 12:16:00.000,Monday,19300,NULL,Milk tea,1
58,2019-07-22 12:16:00.000,Monday,19300,NULL,Orange pound,1
59,2019-07-22 12:24:00.000,Monday,18300,NULL,Angbutter,1
59,2019-07-22 12:24:00.000,Monday,18300,NULL,Croissant,1
59,2019-07-22 12:24:00.000,Monday,18300,NULL,Pain au chocolat,1
59,2019-07-22 12:24:00.000,Monday,18300,NULL,Orange pound,1
60,2019-07-22 12:41:00.000,Monday,18300,NULL,Angbutter,1
60,2019-07-22 12:41:00.000,Monday,18300,NULL,Croissant,2
60,2019-07-22 12:41:00.000,Monday,18300,NULL,Tiramisu croissant,1
61,2019-07-22 13:28:00.000,Monday,16600,NULL,Angbutter,2
61,2019-07-22 13:28:00.000,Monday,16600,NULL,Pain au chocolat,2
62,2019-07-22 13:44:00.000,Monday,14800,NULL,Angbutter,1
62,2019-07-22 13:44:00.000,Monday,14800,NULL,Pain au chocolat,1
62,2019-07-22 13:44:00.000,Monday,14800,NULL,Pandoro,1
63,2019-07-22 14:47:00.000,Monday,26000,NULL,Angbutter,5
64,2019-07-22 15:37:00.000,Monday,19600,NULL,Angbutter,1
64,2019-07-22 15:37:00.000,Monday,19600,NULL,Caffe latte,1
64,2019-07-22 15:37:00.000,Monday,19600,NULL,Tiramisu croissant,1
64,2019-07-22 15:37:00.000,Monday,19600,NULL,Gateau chocolat,1
65,2019-07-22 16:54:00.000,Monday,18600,NULL,Angbutter,1
65,2019-07-22 16:54:00.000,Monday,18600,NULL,Croissant,1
65,2019-07-22 16:54:00.000,Monday,18600,NULL,Gateau chocolat,1
65,2019-07-22 16:54:00.000,Monday,18600,NULL,Berry ade,1
66,2019-07-24 11:29:00.000,Wednesday,16400,NULL,Angbutter,3
67,2019-07-24 11:56:00.000,Wednesday,27100,NULL,Angbutter,2
67,2019-07-24 11:56:00.000,Wednesday,27100,NULL,Plain bread,2
67,2019-07-24 11:56:00.000,Wednesday,27100,NULL,Tiramisu croissant,1
67,2019-07-24 11:56:00.000,Wednesday,27100,NULL,Orange pound,1
68,2019-07-24 13:24:00.000,Wednesday,18800,NULL,Angbutter,1
68,2019-07-24 13:24:00.000,Wednesday,18800,NULL,Plain bread,1
68,2019-07-24 13:24:00.000,Wednesday,18800,NULL,Americano,1
68,2019-07-24 13:24:00.000,Wednesday,18800,NULL,Croissant,1
69,2019-07-24 14:25:00.000,Wednesday,25400,NULL,Angbutter,3
69,2019-07-24 14:25:00.000,Wednesday,25400,NULL,Milk tea,2
70,2019-07-24 14:28:00.000,Wednesday,26300,NULL,Angbutter,1
70,2019-07-24 14:28:00.000,Wednesday,26300,NULL,Plain bread,2
70,2019-07-24 14:28:00.000,Wednesday,26300,NULL,Americano,1
70,2019-07-24 14:28:00.000,Wednesday,26300,NULL,Tiramisu croissant,1
70,2019-07-24 14:28:00.000,Wednesday,26300,NULL,Vanila latte,1
71,2019-07-24 15:36:00.000,Wednesday,16100,NULL,Angbutter,2
71,2019-07-24 15:36:00.000,Wednesday,16100,NULL,Almond croissant,1
72,2019-07-24 15:40:00.000,Wednesday,16100,NULL,Angbutter,2
72,2019-07-24 15:40:00.000,Wednesday,16100,NULL,Tiramisu croissant,1
73,2019-07-24 16:02:00.000,Wednesday,16400,NULL,Angbutter,3
74,2019-07-24 17:20:00.000,Wednesday,15000,NULL,Pain au chocolat,1
74,2019-07-24 17:20:00.000,Wednesday,15000,NULL,Almond croissant,1
74,2019-07-24 17:20:00.000,Wednesday,15000,NULL,Wiener,2
75,2019-07-25 11:49:00.000,Thursday,18600,NULL,Angbutter,1
75,2019-07-25 11:49:00.000,Thursday,18600,NULL,Tiramisu croissant,1
75,2019-07-25 11:49:00.000,Thursday,18600,NULL,Pain au chocolat,1
75,2019-07-25 11:49:00.000,Thursday,18600,NULL,Gateau chocolat,1
76,2019-07-25 11:57:00.000,Thursday,26800,NULL,Angbutter,1
76,2019-07-25 11:57:00.000,Thursday,26800,NULL,Plain bread,1
76,2019-07-25 11:57:00.000,Thursday,26800,NULL,Americano,1
76,2019-07-25 11:57:00.000,Thursday,26800,NULL,Croissant,1
76,2019-07-25 11:57:00.000,Thursday,26800,NULL,Caffe latte,1
76,2019-07-25 11:57:00.000,Thursday,26800,NULL,Vanila latte,1
77,2019-07-25 12:01:00.000,Thursday,35000,NULL,Almond croissant,4
77,2019-07-25 12:01:00.000,Thursday,35000,NULL,Wiener,6
78,2019-07-25 12:35:00.000,Thursday,38000,NULL,Angbutter,5
78,2019-07-25 12:35:00.000,Thursday,38000,NULL,Croissant,1
78,2019-07-25 12:35:00.000,Thursday,38000,NULL,Pain au chocolat,1
78,2019-07-25 12:35:00.000,Thursday,38000,NULL,Wiener,2
79,2019-07-25 13:01:00.000,Thursday,23100,NULL,Angbutter,2
79,2019-07-25 13:01:00.000,Thursday,23100,NULL,Tiramisu croissant,1
79,2019-07-25 13:01:00.000,Thursday,23100,NULL,Pain au chocolat,1
80,2019-07-25 13:05:00.000,Thursday,17300,NULL,Pain au chocolat,2
80,2019-07-25 13:05:00.000,Thursday,17300,NULL,Gateau chocolat,1
80,2019-07-25 13:05:00.000,Thursday,17300,NULL,Berry ade,1
81,2019-07-25 13:40:00.000,Thursday,19600,NULL,Angbutter,2
81,2019-07-25 13:40:00.000,Thursday,19600,NULL,Croissant,1
81,2019-07-25 13:40:00.000,Thursday,19600,NULL,Pandoro,1
82,2019-07-25 13:42:00.000,Thursday,15300,NULL,Angbutter,1
82,2019-07-25 13:42:00.000,Thursday,15300,NULL,Americano,1
82,2019-07-25 13:42:00.000,Thursday,15300,NULL,Pandoro,1
83,2019-07-25 14:12:00.000,Thursday,16100,NULL,Angbutter,2
83,2019-07-25 14:12:00.000,Thursday,16100,NULL,Pandoro,1
84,2019-07-25 15:09:00.000,Thursday,14300,NULL,Angbutter,1
84,2019-07-25 15:09:00.000,Thursday,14300,NULL,Americano,1
84,2019-07-25 15:09:00.000,Thursday,14300,NULL,Croissant,1
85,2019-07-25 15:57:00.000,Thursday,15100,NULL,Angbutter,1
85,2019-07-25 15:57:00.000,Thursday,15100,NULL,Almond croissant,1
85,2019-07-25 15:57:00.000,Thursday,15100,NULL,Gateau chocolat,1
86,2019-07-25 16:03:00.000,Thursday,20000,NULL,Almond croissant,1
86,2019-07-25 16:03:00.000,Thursday,20000,NULL,Pandoro,1
86,2019-07-25 16:03:00.000,Thursday,20000,NULL,Orange pound,1
86,2019-07-25 16:03:00.000,Thursday,20000,NULL,Vanila latte,1
87,2019-07-26 11:26:00.000,Friday,25300,NULL,Angbutter,1
87,2019-07-26 11:26:00.000,Friday,25300,NULL,Plain bread,1
87,2019-07-26 11:26:00.000,Friday,25300,NULL,Croissant,3
87,2019-07-26 11:26:00.000,Friday,25300,NULL,Orange pound,1
88,2019-07-26 11:23:00.000,Friday,73200,NULL,Angbutter,4
88,2019-07-26 11:23:00.000,Friday,73200,NULL,Plain bread,3
88,2019-07-26 11:23:00.000,Friday,73200,NULL,Croissant,6
88,2019-07-26 11:23:00.000,Friday,73200,NULL,Tiramisu croissant,1
88,2019-07-26 11:23:00.000,Friday,73200,NULL,Pain au chocolat,2
88,2019-07-26 11:23:00.000,Friday,73200,NULL,Pandoro,1
88,2019-07-26 11:23:00.000,Friday,73200,NULL,Orange pound,1
89,2019-07-26 11:31:00.000,Friday,22800,NULL,Angbutter,1
89,2019-07-26 11:31:00.000,Friday,22800,NULL,Tiramisu croissant,1
89,2019-07-26 11:31:00.000,Friday,22800,NULL,Pandoro,1
89,2019-07-26 11:31:00.000,Friday,22800,NULL,Orange pound,1
89,2019-07-26 11:31:00.000,Friday,22800,NULL,Wiener,1
90,2019-07-26 11:36:00.000,Friday,1293000,NULL,Angbutter,6
90,2019-07-26 11:36:00.000,Friday,1293000,NULL,Plain bread,5
90,2019-07-26 11:36:00.000,Friday,1293000,NULL,Croissant,5
90,2019-07-26 11:36:00.000,Friday,1293000,NULL,Pain au chocolat,5
90,2019-07-26 11:36:00.000,Friday,1293000,NULL,Almond croissant,5
90,2019-07-26 11:36:00.000,Friday,1293000,NULL,Pandoro,5
91,2019-07-26 11:37:00.000,Friday,15000,NULL,Plain bread,1
91,2019-07-26 11:37:00.000,Friday,15000,NULL,Jam,1
91,2019-07-26 11:37:00.000,Friday,15000,NULL,Croissant,1
91,2019-07-26 11:37:00.000,Friday,15000,NULL,Orange pound,1
92,2019-07-26 11:55:00.000,Friday,20800,NULL,Angbutter,1
92,2019-07-26 11:55:00.000,Friday,20800,NULL,Tiramisu croissant,1
92,2019-07-26 11:55:00.000,Friday,20800,NULL,Almond croissant,1
92,2019-07-26 11:55:00.000,Friday,20800,NULL,Wiener,2
93,2019-07-26 13:19:00.000,Friday,25900,NULL,Angbutter,3
93,2019-07-26 13:19:00.000,Friday,25900,NULL,Tiramisu croissant,1
93,2019-07-26 13:19:00.000,Friday,25900,NULL,Wiener,2
94,2019-07-26 13:24:00.000,Friday,28100,NULL,Angbutter,2
94,2019-07-26 13:24:00.000,Friday,28100,NULL,Americano,1
94,2019-07-26 13:24:00.000,Friday,28100,NULL,Pain au chocolat,1
94,2019-07-26 13:24:00.000,Friday,28100,NULL,Lemon ade,1
94,2019-07-26 13:24:00.000,Friday,28100,NULL,Orange pound,1
95,2019-07-26 14:05:00.000,Friday,15800,NULL,Angbutter,1
95,2019-07-26 14:05:00.000,Friday,15800,NULL,Milk tea,1
95,2019-07-26 14:05:00.000,Friday,15800,NULL,Berry ade,1
96,2019-07-26 14:24:00.000,Friday,35000,NULL,Angbutter,5
96,2019-07-26 14:24:00.000,Friday,35000,NULL,Orange pound,2
97,2019-07-26 14:52:00.000,Friday,22100,NULL,Angbutter,1
97,2019-07-26 14:52:00.000,Friday,22100,NULL,Almond croissant,1
97,2019-07-26 14:52:00.000,Friday,22100,NULL,Gateau chocolat,1
97,2019-07-26 14:52:00.000,Friday,22100,NULL,Lemon ade,1
97,2019-07-26 14:52:00.000,Friday,22100,NULL,Wiener,1
98,2019-07-26 14:56:00.000,Friday,16100,NULL,Angbutter,2
98,2019-07-26 14:56:00.000,Friday,16100,NULL,Pandoro,1
99,2019-07-27 11:29:00.000,Saturday,18800,NULL,Angbutter,1
99,2019-07-27 11:29:00.000,Saturday,18800,NULL,Plain bread,1
99,2019-07-27 11:29:00.000,Saturday,18800,NULL,Americano,1
99,2019-07-27 11:29:00.000,Saturday,18800,NULL,Tiramisu croissant,1
100,2019-07-27 11:57:00.000,Saturday,21800,NULL,Angbutter,1
100,2019-07-27 11:57:00.000,Saturday,21800,NULL,Plain bread,1
100,2019-07-27 11:57:00.000,Saturday,21800,NULL,Croissant,1
100,2019-07-27 11:57:00.000,Saturday,21800,NULL,Pain au chocolat,1
100,2019-07-27 11:57:00.000,Saturday,21800,NULL,Pandoro,1
101,2019-07-27 12:00:00.000,Saturday,18600,NULL,Angbutter,1
101,2019-07-27 12:00:00.000,Saturday,18600,NULL,Croissant,1
101,2019-07-27 12:00:00.000,Saturday,18600,NULL,Gateau chocolat,1
101,2019-07-27 12:00:00.000,Saturday,18600,NULL,Vanila latte,1
102,2019-07-27 12:07:00.000,Saturday,33200,NULL,Angbutter,2
102,2019-07-27 12:07:00.000,Saturday,33200,NULL,Plain bread,2
102,2019-07-27 12:07:00.000,Saturday,33200,NULL,Pain au chocolat,2
102,2019-07-27 12:07:00.000,Saturday,33200,NULL,Gateau chocolat,2
103,2019-07-27 12:20:00.000,Saturday,22800,NULL,Angbutter,1
103,2019-07-27 12:20:00.000,Saturday,22800,NULL,Croissant,1
103,2019-07-27 12:20:00.000,Saturday,22800,NULL,Pain au chocolat,1
103,2019-07-27 12:20:00.000,Saturday,22800,NULL,Lemon ade,1
103,2019-07-27 12:20:00.000,Saturday,22800,NULL,Tiramisu,1
104,2019-07-27 12:26:00.000,Saturday,17000,NULL,Angbutter,1
104,2019-07-27 12:26:00.000,Saturday,17000,NULL,Croissant,3
105,2019-07-27 12:43:00.000,Saturday,16400,NULL,Angbutter,1
105,2019-07-27 12:43:00.000,Saturday,16400,NULL,Plain bread,1
105,2019-07-27 12:43:00.000,Saturday,16400,NULL,Pandoro,1
106,2019-07-27 13:50:00.000,Saturday,14800,NULL,Angbutter,1
106,2019-07-27 13:50:00.000,Saturday,14800,NULL,Plain bread,1
106,2019-07-27 13:50:00.000,Saturday,14800,NULL,Pandoro,1
107,2019-07-27 14:05:00.000,Saturday,32600,NULL,Angbutter,1
107,2019-07-27 14:05:00.000,Saturday,32600,NULL,Plain bread,1
107,2019-07-27 14:05:00.000,Saturday,32600,NULL,Jam,1
107,2019-07-27 14:05:00.000,Saturday,32600,NULL,Gateau chocolat,1
107,2019-07-27 14:05:00.000,Saturday,32600,NULL,Lemon ade,1
107,2019-07-27 14:05:00.000,Saturday,32600,NULL,Orange pound,1
107,2019-07-27 14:05:00.000,Saturday,32600,NULL,Wiener,1
107,2019-07-27 14:05:00.000,Saturday,32600,NULL,Vanila latte,1
108,2019-07-28 11:17:00.000,Sunday,17300,NULL,Angbutter,1
108,2019-07-28 11:17:00.000,Sunday,17300,NULL,Croissant,1
108,2019-07-28 11:17:00.000,Sunday,17300,NULL,Orange pound,1
108,2019-07-28 11:17:00.000,Sunday,17300,NULL,Wiener,1
109,2019-07-28 12:10:00.000,Sunday,14800,NULL,Angbutter,1
109,2019-07-28 12:10:00.000,Sunday,14800,NULL,Plain bread,1
109,2019-07-28 12:10:00.000,Sunday,14800,NULL,Pandoro,1
110,2019-07-28 12:21:00.000,Sunday,14800,NULL,Angbutter,1
110,2019-07-28 12:21:00.000,Sunday,14800,NULL,Tiramisu croissant,1
110,2019-07-28 12:21:00.000,Sunday,14800,NULL,Pain au chocolat,1
